"Node","NodeClass"
"3 量子・スピン・トポロジカル・先端物性現象の実証・制御・応用","研究目的"
"2 デバイス・機能材料の設計・開発・動作・応用","研究目的"
"1 新規材料・ナノ構造の合成・成長・構造制御・基礎物性の解明","研究目的"
"6 環境・安全性・リスク評価・サステナビリティ・規制・社会実装","研究目的"
"11 界面・表面・ナノスケール構造・ダイナミクスの可視化・制御・解析","研究目的"
"7 センシング・バイオセンシング・イメージング・計測技術の開発・応用","研究目的"
"5 ナノバイオ・ナノメディシン・ドラッグデリバリー・診断治療の設計・応用","研究目的"
"10 インフォマティクス・AI・データ科学・レビュー・社会・教育・人材等","研究目的"
"12 DNA/RNA/タンパク質等 生体分子・バイオ材料のナノスケール操作・計測・応用","研究目的"
"4 触媒・電池・エネルギー材料・エネルギー変換技術の開発・性能向上","研究目的"
"8 理論・計算・機構解明・モデリング・記述子・基礎科学の深化","研究目的"
"9 自己組織化・自己集合・分子機械・ナノロボティクス・分子デバイスの設計と制御","研究目的"
"ナノスケール熱輸送の制御","研究目的"
"マルチモーダルイメージング統合","研究目的"
"マイクロプラズマ触媒の開発","研究目的"
"柔軟エレクトロニクスの高信頼化","研究目的"
"生体内mRNA送達の最適化","研究目的"
"光熱治療の精密標的化","研究目的"
"ペロブスカイト発光の安定化","研究目的"
"量子ドットメモリの長寿命化","研究目的"
"体内投与デバイスの安全性評価","研究目的"
"新規低次元材料の量子輸送解明","研究目的"
"環境ナノプラスチックの動態解析","研究目的"
"生体膜相互作用の分子設計","研究目的"
"低炭素化学品の電解合成","研究目的"
"光学メタ表面の設計最適化","研究目的"
"トポロジカル材料の相制御","研究目的"
"触媒反応メカニズムのその場計測","研究目的"
"ソフトマテリアルの機械学習設計","研究目的"
"ナノポア計測の高スループット化","研究目的"
"ナノ機械の自己組立制御","研究目的"
"バイオセンサーの高感度化","研究目的"
"量子フォトニクス集積の実装","研究目的"
"高エネルギー密度電池の界面設計","研究目的"
"二次元磁性のスピン操作","研究目的"
"電極/電解質界面の欠陥制御","研究目的"
"連続フロー微細加工プロセス","研究目的"
"6 リポソーム・LNP・バイオナノ材料","対象材料"
"8 メモリ・電子デバイス・半導体素子","対象材料"
"14 その他（複合材料・特殊構造体等）","対象材料"
"9 バッテリー材料・電極・電解質","対象材料"
"1 二次元材料・層状材料・グラフェン・TMDs関連","対象材料"
"4 金属・合金・ナノ粒子・触媒材料","対象材料"
"2 ペロブスカイト・量子ドット・ナノ結晶材料","対象材料"
"3 カーボンナノ材料（CNT、カーボンドット等）","対象材料"
"5 ポリマー・高分子・有機材料・有機半導体","対象材料"
"11 セラミックス・酸化物・誘電体・光学材料","対象材料"
"7 DNAオリガミ・核酸ナノ構造・DNA/RNAデバイス","対象材料"
"10 磁性材料・スピントロニクス・強磁性/反強磁性材料","対象材料"
"12 ナノメディシン・ドラッグデリバリー・バイオ応用","対象材料"
"13 レビュー・データ・シミュレーション・社会系","対象材料"
"ナノダイヤモンド","対象材料"
"ジルコニアナノ粒子","対象材料"
"金属ガラスナノワイヤ","対象材料"
"窒化ホウ素ナノチューブ","対象材料"
"硫化銀ナノ粒子","対象材料"
"MXene複合体","対象材料"
"硫化モリブデン単層","対象材料"
"コアシェル量子ドット","対象材料"
"共役高分子ブレンド","対象材料"
"カルコゲナイド薄膜","対象材料"
"ナノセルロース複合膜","対象材料"
"金属有機構造体(MOF)","対象材料"
"2Dヘテロ構造","対象材料"
"硫化タングステンナノフレーク","対象材料"
"ハロゲン化ペロブスカイト微結晶","対象材料"
"酸化ガリウム薄膜","対象材料"
"相変化材料GeSbTe","対象材料"
"カーボンドット複合材","対象材料"
"セルロースナノファイバー","対象材料"
"ルテニウム単原子触媒","対象材料"
"グラフェンナノリボン","対象材料"
"プラズモニック金ナノロッド","対象材料"
"ナノ多孔質炭素","対象材料"
"スピネル型酸化物","対象材料"
"ポリイオンコンプレックスゲル","対象材料"
"7 ナノバイオ・医療・生体応用実験・評価","適用手法"
"8 デバイス動作・システムレベル評価・応用","適用手法"
"13 レビュー・総説・動向分析・社会データ","適用手法"
"3 構造評価・表面分析・顕微鏡観察","適用手法"
"9 化学反応・触媒・電気化学的評価","適用手法"
"2 デバイス作製・パターニング・マイクロ/ナノファブリケーション","適用手法"
"10 マルチモーダル・複合的解析・統合手法","適用手法"
"5 電気・電子・磁気・光学的測定","適用手法"
"4 分光・物性評価・組成/化学分析","適用手法"
"1 材料合成・薄膜形成","適用手法"
"11 ナノ粒子・ナノ構造評価と応用","適用手法"
"12 DNA/RNA・分子ナノテク・バイオナノデバイス","適用手法"
"14 マイクロ・ナノ流体・組織・細胞操作手法","適用手法"
"6 シミュレーション・理論・データ駆動型手法","適用手法"
"15 その他（複合/特殊手法）","適用手法"
"トモグラフィーAI再構成","適用手法"
"その場XAFS解析","適用手法"
"位相回復ホログラフィ","適用手法"
"原子層堆積(ALD)","適用手法"
"分子動力学シミュレーション","適用手法"
"単一粒子追跡計測","適用手法"
"超解像蛍光イメージング","適用手法"
"マシンラーニング逆設計","適用手法"
"マイクロフルイディクス合成","適用手法"
"クライオFIB-SEM","適用手法"
"高速ラマンラインスキャン","適用手法"
"ドロップレット反応スクリーニング","適用手法"
"DFT第一原理計算","適用手法"
"電界効果トランジスタ評価","適用手法"
"レーザー誘起熱伝導測定","適用手法"
"ナノインデンテーション","適用手法"
"フェムト秒分光","適用手法"
"X線位相コントラスト像","適用手法"
"走査型ヘリウムイオン顕微鏡","適用手法"
"オペランド電気化学測定","適用手法"
"ナノインプリントリソグラフィ","適用手法"
"フローディスクリプタ設計","適用手法"
"二光子励起イメージング","適用手法"
"自然言語処理による文献マイニング","適用手法"
"スピン偏極STM","適用手法"
"8 バイオ応答・治療効果・送達・安全性","評価方法"
"1 電気・電子・論理・量子デバイス性能","評価方法"
"10 計測技術・センシング・検出・イメージング","評価方法"
"4 材料の安定性・耐久性・分散・リサイクル性等","評価方法"
"5 化学反応性・触媒活性・電気化学特性","評価方法"
"6 発光・フォトニクス・スペクトル・非線形光学特性","評価方法"
"15 多機能・複合・システム・統合評価","評価方法"
"3 構造・組成・形態・界面・表面特性","評価方法"
"2 磁気・スピン・フォトニック・集積化デバイス","評価方法"
"11 機械/熱/環境特性・耐久・リサイクル","評価方法"
"7 バンドギャップ・励起子・光キャリア等の物理パラメータ","評価方法"
"9 ナノ粒子/ナノ構造・表面/界面・自己組織化","評価方法"
"14 理論・モデル・シミュレーション","評価方法"
"13 合成/プロセス/製造/スケーラビリティ等","評価方法"
"12 計算・情報処理・AI・量子情報","評価方法"
"16 レビュー・社会・倫理・教育・歴史等","評価方法"
"細胞毒性/免疫応答評価","評価方法"
"難燃性/熱安定性試験","評価方法"
"伝導度/移動度プロファイル","評価方法"
"バイオディストリビューション半減期","評価方法"
"比表面積(BET)解析","評価方法"
"ガス透過率/選択性評価","評価方法"
"熱放射率スペクトル測定","評価方法"
"シミュレーション妥当性検証","評価方法"
"ルミネッセンス量子収率","評価方法"
"ノイズ等価濃度(センサ)","評価方法"
"触媒TOF/ファラデー効率","評価方法"
"微小力学(ヤング率)評価","評価方法"
"体内分布(IVIS)評価","評価方法"
"粒径・ゼータ電位測定","評価方法"
"サイクル寿命試験(電池)","評価方法"
"電気化学インピーダンス分光","評価方法"
"時間分解フォトルミネッセンス","評価方法"
"スピン緩和時間(T1/T2)測定","評価方法"
"有効量-副作用バランス評価","評価方法"
"殺菌/抗菌性定量","評価方法"
"表面化学XPS解析","評価方法"
"耐湿熱/光劣化試験","評価方法"
"ナノポア通過頻度解析","評価方法"
"画像セグメンテーション精度","評価方法"
"ひずみ-応力サイクル試験","評価方法"